latent_type,filename,latent_id,area,normalised_area,max_coeff,bias_steered_score_delta,unbias_steered_score_delta
bias,steer-gender-gender,0,5.42,0.00,1500.0,0.06,0.00
bias,steer-gender-gender,1,-5.00,-0.00,1500.0,0.00,0.00
bias,steer-gender-gender,2,-1.25,-0.00,1500.0,0.00,0.00
bias,steer-gender-gender,3,16.67,0.03,700.0,0.07,0.00
bias,steer-gender-gender,4,93.75,0.07,1500.0,0.00,0.04
bias,steer-gender-gender,5,-12.50,-0.01,1500.0,0.00,0.00
bias,steer-gender-gender,6,2.50,0.00,1500.0,0.00,0.00
bias,steer-gender-gender,7,22.92,0.02,1500.0,0.02,0.00
bias,steer-gender-gender,8,34.17,0.02,1500.0,0.10,0.00
bias,steer-gender-gender,9,-0.00,-0.00,1400.0,0.00,0.00
