latent_type,filename,latent_id,area,normalised_area,max_coeff,bias_steered_score_delta,unbias_steered_score_delta
bias,steer-gender-race_2,0,447.08,0.32,1500.0,0.53,0.00
bias,steer-gender-race_2,1,-7.50,-0.01,1100.0,0.00,0.03
bias,steer-gender-race_2,2,155.42,0.11,1500.0,0.06,0.02
bias,steer-gender-race_2,3,0.42,0.00,700.0,0.01,0.02
bias,steer-gender-race_2,4,33.33,0.02,1500.0,0.00,0.00
bias,steer-gender-race_2,5,14.58,0.01,1500.0,0.00,0.04
bias,steer-gender-race_2,6,11.67,0.01,1500.0,0.00,0.00
bias,steer-gender-race_2,7,-1.67,-0.00,1500.0,0.00,0.00
bias,steer-gender-race_2,8,365.00,0.26,1500.0,0.32,0.00
bias,steer-gender-race_2,9,33.33,0.02,1500.0,0.00,0.00
