latent_type,filename,latent_id,area,normalised_area,max_coeff,pos_steered_score_delta,neg_steered_score_delta
sentiment,steer-pos_vs_neg-gender,0,31.71,0.02,1500.0,0.07,-0.01
sentiment,steer-pos_vs_neg-gender,1,23.42,0.02,1500.0,0.01,0.07
sentiment,steer-pos_vs_neg-gender,2,254.71,0.18,1500.0,0.09,-0.24
sentiment,steer-pos_vs_neg-gender,3,94.46,0.09,1100.0,0.12,0.01
sentiment,steer-pos_vs_neg-gender,4,178.00,0.13,1500.0,0.09,-0.03
sentiment,steer-pos_vs_neg-gender,5,-118.75,-0.08,1500.0,-0.06,0.02
sentiment,steer-pos_vs_neg-gender,6,195.38,0.14,1500.0,-0.08,-0.23
sentiment,steer-pos_vs_neg-gender,7,-39.88,-0.03,1500.0,-0.06,-0.03
sentiment,steer-pos_vs_neg-gender,8,24.08,0.02,1500.0,-0.04,-0.02
sentiment,steer-pos_vs_neg-gender,9,237.21,0.17,1500.0,0.20,-0.21
