latent_type,filename,latent_id,area,normalised_area,max_coeff,pos_steered_score_delta,neg_steered_score_delta
sentiment,steer-pos_vs_neg-race_2,0,226.71,0.16,1500.0,0.14,-0.08
sentiment,steer-pos_vs_neg-race_2,1,64.50,0.05,1500.0,0.07,-0.00
sentiment,steer-pos_vs_neg-race_2,2,-24.08,-0.02,1500.0,0.04,0.03
sentiment,steer-pos_vs_neg-race_2,3,91.21,0.08,1300.0,0.15,0.12
sentiment,steer-pos_vs_neg-race_2,4,-80.21,-0.06,1500.0,0.11,0.15
sentiment,steer-pos_vs_neg-race_2,5,-92.62,-0.07,1500.0,-0.02,0.16
sentiment,steer-pos_vs_neg-race_2,6,258.71,0.18,1500.0,0.06,-0.28
sentiment,steer-pos_vs_neg-race_2,7,-7.75,-0.01,1500.0,0.09,0.02
sentiment,steer-pos_vs_neg-race_2,8,106.21,0.08,1500.0,0.10,0.06
sentiment,steer-pos_vs_neg-race_2,9,238.50,0.17,1500.0,0.14,-0.23
