latent_type,filename,latent_id,area,normalised_area,max_coeff,bias_steered_score_delta,unbias_steered_score_delta
bias,steer-race_2-race_2,0,-35.00,-0.02,1500.0,0.00,0.00
bias,steer-race_2-race_2,1,-1.67,-0.00,1400.0,0.00,0.00
bias,steer-race_2-race_2,2,-13.75,-0.01,1500.0,0.00,0.06
bias,steer-race_2-race_2,3,-9.17,-0.01,1100.0,0.00,0.03
bias,steer-race_2-race_2,4,-1.67,-0.00,1300.0,0.00,0.00
bias,steer-race_2-race_2,5,6.67,0.01,1400.0,0.00,0.00
bias,steer-race_2-race_2,6,6.67,0.01,700.0,0.00,0.00
bias,steer-race_2-race_2,7,-17.50,-0.01,1500.0,0.00,0.02
bias,steer-race_2-race_2,8,-6.25,-0.01,1000.0,0.00,0.01
bias,steer-race_2-race_2,9,-12.08,-0.01,1000.0,0.01,0.00
